person_id,id,name,character,role
1462978,tm127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
703435,tm127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
1463011,tm127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
1462986,tm127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
1462588,tm127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
889417,tm127384,Mary Allen,Girl in Castle Anthrax,ACTOR
1464056,tm127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
1671807,tm127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
11490,tm127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
84047,tm127384,Margarita Doyle,Peasant (uncredited),ACTOR
1463016,tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
1463018,tm127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
1463021,tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
11475,tm127384,Terry Jones,Themselves (uncredited),ACTOR
919694,tm127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
400172,tm127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
14908,tm127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
8327,tm127384,John Thornton,Dancing Knight (uncredited),ACTOR
156072,tm127384,Maggie Weston,Page-turner (uncredited),ACTOR
11475,tm127384,Terry Jones,,DIRECTOR
11473,tm127384,Terry Gilliam,,DIRECTOR
35196,tm120801,Lee Marvin,Maj. John Reisman,ACTOR
1050,tm120801,Ernest Borgnine,Maj. Gen. Worden,ACTOR
16868,tm120801,Charles Bronson,Joseph Wladislaw,ACTOR
14351,tm120801,Jim Brown,Robert Jefferson,ACTOR
35197,tm120801,John Cassavetes,Victor Franko,ACTOR
35200,tm120801,Richard Jaeckel,Sergeant Bowren,ACTOR
1061,tm120801,George Kennedy,Major Max Armbruster,ACTOR
35198,tm120801,Trini López,Pedro Jiminez,ACTOR
21482,tm120801,Ralph Meeker,Captain Stuart Kinder,ACTOR
24126,tm120801,Robert Ryan,Col. Everett Dasher Breed,ACTOR
21838,tm120801,Telly Savalas,Archer Maggott,ACTOR
1765,tm120801,Donald Sutherland,Vernon Pinkley,ACTOR
35199,tm120801,Clint Walker,Samson Posey,ACTOR
8044,tm120801,Robert Webber,General Denton,ACTOR
35201,tm120801,Tom Busby,Milo Vladek,ACTOR
35202,tm120801,Ben Carruthers,Glenn Gilpin,ACTOR
35203,tm120801,Stuart Cooper,Roscoe Lever,ACTOR
29814,tm120801,Robert Phillips,Cpl. Morgan - MP Guard,ACTOR
35204,tm120801,Colin Maitland,Seth Sawyer,ACTOR
15345,tm120801,Al Mancini,Tassos Bravos,ACTOR
2095,tm120801,George Roubicek,Pvt. Arthur James Gardner,ACTOR
32622,tm120801,Thick Wilson,Gen. Worden's Aide,ACTOR
548877,tm120801,Dora Reisser,German Officer's Girl,ACTOR
361026,tm120801,Michael Anthony,German Officer in Staff Car (uncredited),ACTOR
35206,tm120801,Leo Britt,German General in Staff Car (uncredited),ACTOR
35207,tm120801,Alan Chuntz,French Servant (uncredited),ACTOR
35208,tm120801,Gary Files,Ambulance Driver (uncredited),ACTOR
35209,tm120801,Judith Furse,Drunken General's Wife (uncredited),ACTOR
35210,tm120801,Hal Galili,MP Master Sergeant / Hangman (uncredited),ACTOR
35211,tm120801,Romo Gorrara,Airborne Soldier (uncredited),ACTOR
11181,tm120801,Willoughby Gray,German Officer (uncredited),ACTOR
35212,tm120801,Gerard Heinz,Card-Playing German Officer (uncredited),ACTOR
21244,tm120801,John G. Heller,2nd German Sentry at Chateau (uncredited),ACTOR
35213,tm120801,George Hilsdon,Medical Officer at Hanging (uncredited),ACTOR
35214,tm120801,John Hollis,German Porter at Chateau (uncredited),ACTOR
10097,tm120801,Alf Joint,German Sentry Wanting Light (uncredited),ACTOR
35215,tm120801,Juba Kennerley,German Officer (uncredited),ACTOR
35216,tm120801,Hildegard Knef,(uncredited),ACTOR
35217,tm120801,Ann Lancaster,Prostitute (uncredited),ACTOR
35218,tm120801,Richard Marner,German Sentry at Chateau (uncredited),ACTOR
1062,tm120801,Dick Miller,MP at Hanging (uncredited),ACTOR
22266,tm120801,Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),ACTOR
35219,tm120801,Suzanne Owens-Duval,Prostitute (uncredited),ACTOR
4500,tm120801,Mike Reid,Sergeant at War Games HQ (uncredited),ACTOR
31806,tm120801,Terry Richards,Blake (uncredited),ACTOR
35220,tm120801,Frederick Schiller,Drunken German General (uncredited),ACTOR
35222,tm120801,Richard Shaw,German Officer Who Seals the Bunker (uncredited),ACTOR
35223,tm120801,Warren Stanhope,German Officer (uncredited),ACTOR
35224,tm120801,Hedger Wallace,German Officer (uncredited),ACTOR
35225,tm120801,Theodore Wilhelm,German Officer (uncredited),ACTOR
35226,tm120801,Rocky Taylor,Airborne Soldier (uncredited),ACTOR
2105,tm120801,Burnell Tucker,Army Doctor (uncredited),ACTOR
35227,tm120801,Vicki Woolf,Prostitute (uncredited),ACTOR
744350,tm120801,Michael Segal,Airborne Band Conductor (uncredited),ACTOR
1063,tm120801,Robert Aldrich,,DIRECTOR
11472,ts22164,Graham Chapman,Various,ACTOR
11476,ts22164,Michael Palin,"Various / ""It's"" man",ACTOR
11475,ts22164,Terry Jones,Various,ACTOR
11474,ts22164,Eric Idle,Various,ACTOR
11473,ts22164,Terry Gilliam,Various,ACTOR
11472,tm70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
1549,tm70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
11473,tm70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
11474,tm70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
11475,tm70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
11476,tm70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
11477,tm70993,Terence Bayler,Gregory,ACTOR
11478,tm70993,Carol Cleveland,Mrs. Gregory,ACTOR
11479,tm70993,Kenneth Colley,Jesus,ACTOR
11482,tm70993,Neil Innes,A Weedy Samaritan,ACTOR
11480,tm70993,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,tm70993,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,tm70993,Gwen Taylor,Mrs. Big Nose,ACTOR
11484,tm70993,Sue Jones-Davies,Judith Iscariot,ACTOR
548006,tm70993,Peter Brett,,ACTOR
11485,tm70993,John Case,Pilate's Wife,ACTOR
11489,tm70993,Chris Langham,Alfonso / Giggling Guard,ACTOR
11487,tm70993,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,tm70993,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,tm70993,Spike Milligan,Spike,ACTOR
11488,tm70993,George Harrison,Mr. Papadopolous (uncredited),ACTOR
11475,tm70993,Terry Jones,,DIRECTOR
6050,tm14873,Clint Eastwood,Harry,ACTOR
74499,tm14873,Harry Guardino,Bressler,ACTOR
24045,tm14873,Reni Santoni,Chico,ACTOR
29250,tm14873,John Vernon,The Mayor,ACTOR
29225,tm14873,Andrew Robinson,Killer,ACTOR
63141,tm14873,John Larch,Chief,ACTOR
28420,tm14873,John Mitchum,De Georgio,ACTOR
83026,tm14873,Mae Mercer,Mrs. Russell,ACTOR
83027,tm14873,Lyn Edgington,Norma,ACTOR
83028,tm14873,Ruth Kobart,Bus Driver,ACTOR
29253,tm14873,Woodrow Parfrey,Mr. Jaffe,ACTOR
7250,tm14873,Josef Sommer,Rothko,ACTOR
83029,tm14873,William Paterson,Bannerman,ACTOR
44085,tm14873,James Nolan,Liquor Proprietor,ACTOR
28418,tm14873,Maurice Argent,Sid Kleinman,ACTOR
83030,tm14873,Jo De Winter,Miss Willis,ACTOR
642080,tm14873,Craig Kelly,Sgt. Reineke,ACTOR
24203,tm14873,Albert Popwell,Bank Robber (uncredited),ACTOR
83031,tm14873,Joy Carlin,Communications Secretary (uncredited),ACTOR
83032,tm14873,Bill Couch,Suicide Jumper (uncredited),ACTOR
83033,tm14873,Diana Davidson,Swimmer (uncredited),ACTOR
6848,tm14873,Vince Deadrick Sr.,Pedestrian (uncredited),ACTOR
83034,tm14873,Chuck Dorsett,TV Watcher (uncredited),ACTOR
83035,tm14873,Al Dunlap,Man in Jaffe's Cafe (uncredited),ACTOR
83036,tm14873,Larry Duran,(uncredited),ACTOR
63147,tm14873,George Fargo,Homicide Detective (uncredited),ACTOR
83037,tm14873,Lois Foraker,Hot Mary (uncredited),ACTOR
29725,tm14873,Max Gail,Tunnel Hoodlum (uncredited),ACTOR
19846,tm14873,John Garber,Tunnel Hoodlum (uncredited),ACTOR
37760,tm14873,Christopher Pray,Tunnel Hoodlum (uncredited),ACTOR
83038,tm14873,Eddie Garrett,Policeman (uncredited),ACTOR
58911,tm14873,James W. Gavin,Helicopter Pilot (uncredited),ACTOR
28432,tm14873,David Gilliam,Homosexual (uncredited),ACTOR
83039,tm14873,Don Haggerty,Minor Role (uncredited),ACTOR
83040,tm14873,Scott Hale,Newsman (uncredited),ACTOR
83041,tm14873,Kate Harper,Underwear Chick (uncredited),ACTOR
83042,tm14873,Bob Harris,Man in Truck (uncredited),ACTOR
15562,tm14873,Chuck Hicks,Flower Vendor (uncredited),ACTOR
28171,tm14873,Raymond Johnson,Big Black Man (uncredited),ACTOR
58618,tm14873,Richard Lawson,Homosexual (uncredited),ACTOR
83043,tm14873,Laurie Mock,Third Nude (uncredited),ACTOR
83044,tm14873,Ann Noland,Hippie Girl (uncredited),ACTOR
83045,tm14873,Kathleen O'Malley,Lady in Jaffe's Cafe (uncredited),ACTOR
11774,tm14873,Angela Paton,Homicide Detective (uncredited),ACTOR
83046,tm14873,Victor Paul,Car Driver (uncredited),ACTOR
27040,tm14873,Debralee Scott,Ann Mary Deacon (uncredited),ACTOR
56405,tm14873,Don Siegel,Pedestrian Passing Harry's Car (uncredited),ACTOR
83047,tm14873,Kristoffer Tabori,Hippie Guy (uncredited),ACTOR
357644,tm14873,Tony Dario,Police Sergeant (uncredited),ACTOR
1254876,tm14873,Marc Hertsens,Steve - Doctor (uncredited),ACTOR
1254791,tm14873,Gordon Chapli,Fireman (uncredited),ACTOR
1254778,tm14873,Janet Wisely,First Nude (uncredited),ACTOR
1255103,tm14873,Pamela Tanimura,Bus Kid (uncredited),ACTOR
1254838,tm14873,Richard Samuelson,Bus Kid (uncredited),ACTOR
1255106,tm14873,Derek Jue,Bus Kid (uncredited),ACTOR
1255122,tm14873,Sean Maley,Bus Kid (uncredited),ACTOR
1255589,tm14873,Diane Darnell,Mayor's Secretary (uncredited),ACTOR
56405,tm14873,Don Siegel,,DIRECTOR
20837,tm119281,Warren Beatty,Clyde Barrow,ACTOR
17170,tm119281,Faye Dunaway,Bonnie Parker,ACTOR
16446,tm119281,Michael J. Pollard,C. W. Moss,ACTOR
15098,tm119281,Gene Hackman,Buck Barrow,ACTOR
22346,tm119281,Estelle Parsons,Blanche,ACTOR
18249,tm119281,Denver Pyle,Frank Hamer,ACTOR
11347,tm119281,Dub Taylor,Ivan Moss,ACTOR
22347,tm119281,Evans Evans,Velma Davis,ACTOR
22345,tm119281,Gene Wilder,Eugene Grizzard,ACTOR
22348,tm119281,Mabel Cavitt,Bonnie's mother (uncredited),ACTOR
22349,tm119281,Patrick Cranshaw,Bank Teller (uncredited),ACTOR
345491,tm119281,Owen Bush,Policeman (uncredited),ACTOR
22351,tm119281,Clyde Howdy,Deputy (uncredited),ACTOR
22352,tm119281,Russ Marker,Bank Guard (uncredited),ACTOR
22354,tm119281,Ann Palmer,Bonnie's Sister (uncredited),ACTOR
511857,tm119281,Ken Mayer,Sheriff Smoot (uncredited),ACTOR
22355,tm119281,Arthur Penn,,DIRECTOR
14989,tm98978,Brooke Shields,Emmeline,ACTOR
44313,tm98978,Christopher Atkins,Richard,ACTOR
36764,tm98978,Leo McKern,Paddy Button,ACTOR
30068,tm98978,William Daniels,Arthur Lestrange,ACTOR
80677,tm98978,Jeffrey Kleiser,Lookout,ACTOR
66492,tm98978,Gus Mercurio,Officer,ACTOR
80678,tm98978,Elva Josephson,Young Emmeline,ACTOR
80679,tm98978,Glenn Kohan,Young Richard,ACTOR
80680,tm98978,Bradley Pryce,Little Paddy,ACTOR
80681,tm98978,Chad Timmerman,Infant Paddy,ACTOR
80682,tm98978,Gert Jacoby,Sailor,ACTOR
80683,tm98978,Alex Hamilton,Sailor,ACTOR
80684,tm98978,Richard Evanson,Sailor,ACTOR
28692,tm98978,Randal Kleiser,,DIRECTOR
16024,tm44204,Gregory Peck,Capt. Keith Mallory,ACTOR
16485,tm44204,David Niven,Cpl. James Arthur Miller,ACTOR
16350,tm44204,Anthony Quinn,Col. Andrea Stavros,ACTOR
29175,tm44204,Stanley Baker,Pvt. 'Butcher' Brown,ACTOR
16352,tm44204,Anthony Quayle,Maj. Roy Franklin,ACTOR
29176,tm44204,James Darren,Pvt. Spyros Pappadimos,ACTOR
21795,tm44204,Irene Papas,Maria Pappadimos,ACTOR
29177,tm44204,Gia Scala,Anna,ACTOR
29178,tm44204,James Robertson Justice,Commodore Jensen / Prologue Narrator,ACTOR
4431,tm44204,Richard Harris,Squadron Leader Howard Barnsby RAAF,ACTOR
29179,tm44204,Bryan Forbes,Cohn,ACTOR
29180,tm44204,Allan Cuthbertson,Maj. Baker,ACTOR
16493,tm44204,Michael Trubshawe,Weaver,ACTOR
27914,tm44204,Percy Herbert,Sgt. Grogan,ACTOR
16882,tm44204,George Mikell,SS Hauptman Sessler,ACTOR
11738,tm44204,Walter Gotell,Muesel,ACTOR
13701,tm44204,Tutte Lemkow,Nicolai,ACTOR
29181,tm44204,Albert Lieven,Commandant,ACTOR
29182,tm44204,Norman Wooland,Group Captain,ACTOR
613906,tm44204,Kleo Skouloudi,Bride,ACTOR
29184,tm44204,Nicholas Papakonstantinou,Patrol Boat Captain,ACTOR
